編號,類型,資料來源,傳送者,內容,是否詐騙(1詐騙2否),解析,delta_auth_權威分,delta_time_時間分,delta_style_風格分,delta_motive_獎懲分,tech_score_科技指標
133,假冒貸款服務,TRUE,陳代書,可負擔的月付金解決眼前的錢關，實體店面、正面經營，持支客票只要3%，另有不動產質借、股票代墊、信用借款，歡迎比價 04-23863520 陳代書,1,貸款服務常見詐騙手段，提供低利誘惑,0,0,0,0,0
134,假冒貸款服務,TRUE,劉代書,「息」比三家不吃虧，先問再借免緊張！備支票300萬內，榮泰當舖給您【打破行情超低利專案】正派經營、安心借還，速洽 04-22258078 劉代書,1,提供低利貸款，無證據支撐為詐騙,0,0,0,0,0
135,假冒貸款服務,TRUE,贏,不看職業1-30萬當天撥款，免保人不照會，條件不佳、無薪轉、瑕疵、更生、警示戶 皆可協助 贏：0984076958 同賴,1,詐騙貸款，提供無責任貸款給有問題的戶,0,0,0,0,0
136,假冒貸款服務,TRUE,李專員,低利率方案，有工作就借，無需抵押品、拒高利，審核流程簡單快速，可配合長短期，50萬內當日放款，電洽 0958-716050 李專員，同賴,1,詐騙貸款，無需抵押品,0,0,0,2,0
137,假冒貸款服務,TRUE,黃子恩,各大銀行房屋借款、信用借款、汽機車商品借款 企業借款 合法利率 協助您負債繳款協商整合 60萬月付8800速撥 0901413028 黃子恩,1,假冒銀行貸款服務,2,0,0,0,0
138,假冒貸款服務,TRUE,陳俊輝,低利率方案，有工作就借，無需抵押品、拒高利，審核流程簡單快速，可配合長短期，50萬內當日放款，電洽 0958-716050 陳俊輝，客服同電話,1,詐騙貸款,2,0,0,2,0
139,假冒貸款服務,TRUE,慶富本,在乎您所在的利息【2.8%】低利、彈性償還的資金管道才是您需要的，250萬內備支票當日撥款，免押保，洽 04-22065995 慶富本,1,假冒貸款服務，聲稱低利率提供貸款,0,0,0,0,0
140,假冒交友或戀愛關係,TRUE,語聊師,有些話不知找誰說，有些苦只能往肚裡吞，有些情緒不知如何發洩，或許你不知道只要手機直撥5512，百位語聊師在上線上等你傾訴，等你發洩，等你來愛,1,詐騙訊息，利用情感操控提供虛假的語聊服務，誘使受害者撥打電話或支付費用。,0,0,0,0,0
141,假冒貸款服務,TRUE,婕希,過年紓困，10萬內來就借息低，保密，免抵押，杜絕詐騙10分鐘火速撥款電話 0928-494964 婕希LineID: aa4964,1,詐騙簡訊，承諾低息貸款並要求聯絡特定電話及Line。,0,0,0,0,0
142,假冒貸款服務,TRUE,林小姐,【低利率專案，每萬元月息100】小額週轉，疫情紓困，當日放款，免任何抵押，不必看人臉色，本利償還負擔低，洽0903-184-006林小姐,1,詐騙訊息，利用低利息及疫情紓困為誘餌，未來可能要求支付手續費或借款。,0,0,0,2,0
143,假冒貸款服務,TRUE,許經理,搶先登記！盛和租賃優利借，企業、個人長中期皆可借，300萬內2.88%起，專人當日服務放款，不押證件，備支票洽 04-22930223 許經理,1,詐騙訊息，提供不實貸款條件並要求提供證件或銀行資料。,0,0,0,2,0
144,假冒貸款服務,TRUE,謝美妮,銀行不斷升息下多比較看看、潔軒經輕鬆借還，500萬資金內，還款彈性免押，當日放款，單一利率3.5%，備支票洽 04-22379380 謝美妮,1,詐騙訊息，利用高額資金及不真實的利率吸引受害者，可能要求提前支付費用。,2,0,0,2,0
145,假冒貸款服務,TRUE,莊經理,別讓債務拖垮你【資產理財】專辦銀行借款、整合債務、代償高利、350萬內資金當日到位，利率最低2.8%起，備支票 洽 04-22258008 莊經理,1,詐騙訊息，假冒資產理財服務並提供不真實的資金貸款條件。,2,0,0,0,0
146,假冒貸款服務,TRUE,金華租賃劉小姐,【資金週轉不求人】來就借，現撥款、備支票(低利2分) 專辦急件，歡迎正當生意人，30天一期可分期，洽(04)22060906 金華租賃劉小姐,1,詐騙訊息，提供不真實的貸款條件並要求受害者提供支票作為擔保。,0,0,0,0,0
147,假冒貸款服務,TRUE,吳經理,銀行不能借，我來協助您，首次貸款2成免息，500萬內銀行低率貸款專案，優惠每10萬元，月息2800，歡迎來電 04-22360320 吳經理,1,詐騙訊息，提供不真實的低利貸款並強調銀行無法借款的情況，誤導受害者。,2,0,0,2,0
148,假冒貸款服務,TRUE,李宜華,即刻$救援，急件300萬內，3hr內撥款，專辦中小企業、個人支票借款，月息2分，彈性還款、業務親辦單線服務，洽 04-23121872 李宜華,1,詐騙訊息，提供急件貸款並要求支付高額利息，利用快速撥款作為誘餌。,0,0,0,0,0
149,假冒貸款服務,TRUE,陳代書,可負擔的月付金解決眼前的錢關，實體店面、正面經營，持支客票只要3%，另有不動產質借、股票代墊、信用借款，歡迎比價 04-23863520 陳代書,1,詐騙訊息，提供不實的資金借貸條件並要求提供不動產或股票作為擔保。,0,0,0,0,0
150,假冒貸款服務,TRUE,劉代書,「息」比三家不吃虧，先問再借免緊張！備支票300萬內，榮泰當舖給您【打破行情超低利專案】正派經營、安心借還，速洽 04-22258078 劉代書,1,詐騙訊息，假冒正派經營的貸款服務，利用低利息吸引受害者並要求提供支票作為擔保。,0,0,0,0,0
151,假冒電商平台,TRUE,Microsoft,65** is your Microsoft account verification code.,2,正常的Microsoft帳號驗證碼,0,0,0,0,0
152,假冒電商平台,TRUE,bilibili,[bilibili]43****为本次登录验证的手机验证码，请在5分钟内完成验证。为保证賬号安全，请勿泄漏此验证码,2,正常的bilibili登錄驗證碼,0,0,0,2,0
153,假冒金融機構,TRUE,富途牛牛,[富途牛牛]驗證碼：82***，十分鐘內輸入，請勿洩露給其他人。,2,富途牛牛正常的驗證碼,0,0,2,0,1
154,假冒電商平台,TRUE,foodpanda,Your foodpanda verification code is: 5257,2,foodpanda正常的驗證碼,0,0,0,0,0
155,假冒電商平台,TRUE,KFC,肯德基台北莊敬餐廳已收到訂單！金額$179，取餐序號為訂餐手機後4碼。查詢進度：https://kfcclub.tw/,2,肯德基正常的訂單通知,0,0,2,0,1
156,假冒電商平台,TRUE,KFC,【KFC取餐通知】您的餐點已準備完成。請您至智能櫃3號櫃取餐，密碼為0381。祝您用餐愉快。,2,肯德基正常的取餐通知,0,0,0,0,0
157,假冒電商平台,TRUE,悠遊卡,悠遊卡通知：單號X1141001****退費通知單預計5個工作日寄達.,2,悠遊卡退費通知,0,0,0,0,0
158,假冒金融機構,TRUE,悠遊付,【悠遊付 註冊驗證】提防詐騙！驗證碼「136654」，請勿轉發或告知他人，請於5分鐘內完成驗證。如非本人申請註冊，請洽悠遊卡客服。,2,悠遊付正當的註冊驗證碼,2,0,2,0,1
159,假冒金融機構,TRUE,悠遊卡,您好:悠遊卡單號X1130510**** 因地址不完整而無法申請掛失退費作業 請回電悠遊卡客服 02-4128880 按1再按7轉接專員 謝謝.,2,悠遊卡正常的客服通知,2,0,0,2,0
160,假冒電商平台,TRUE,三商炸雞,[三商炸雞]訂餐成功！2025/10/06 20:20至信義莊敬外帶，電話末碼766，線上查詢訂單(驗證碼F0439)或洽02-412-8033,2,三商炸雞正常的訂餐通知,0,0,2,0,1
161,假冒金融機構,TRUE,富邦人壽,【富邦人壽保費授權成功通知】10*****665被保險人趙＊威君要保書編號V306012751於114年9月26日申請之保費授權書已授權完成，將待核保通過後，再進行首期保費扣款。授權書編號FB1131172124。相關提醒請點選連結查看說明https://fubonlife.tw/87b8wj,2,富邦人壽正常的保費授權通知,0,0,2,0,1
162,假冒電商平台,TRUE,中華電信,感謝使用中華電信帳單代收服務 如有疑問  可以中華市話、行動直撥123或至官網https://dcb.cht.com.tw/查詢更多訊息。,2,中華電信正常的帳單代收通知,2,0,2,0,1
163,假冒電商平台,TRUE,中華電信,您使用中華行動帳單代收服務50元 編號:MKX6LLTT5W·請上https:///reportaproblem.apple.com/查詢更多訊息,2,中華電信正常的服務通知,2,0,2,0,1
164,假冒電商平台,TRUE,中華電信,【權益通知】您中華電信行動電話帳單代收服務本月額度為3000元。若要查詢或異動請至中華電信APP或以中華市話、行動直撥123洽客服。,2,中華電信正常的權益通知,2,0,0,0,0
165,假冒政府機構,TRUE,政府,響應政府顧青年政策 凡18-44歲中華民國國民 可免費申請美日語培訓補助2萬元 額滿為止https://reurl.cc/qOqer3,2,政府正常的青年政策申請通知,0,0,2,2,1
166,假冒教育機構,TRUE,巨匠美語,"【巨匠美語】提醒您多益進修好禮已申請成功〜名額有限!歡迎加入官方linehttps://lin.ee/o8Ui12(回傳手機先登記)記得預留時間領取,協助提供適合內容給您〜04-22210166",2,巨匠美語正當的進修通知,0,0,2,2,1
167,假冒教育機構,TRUE,巨匠美語,美日語會話免費學 免出門/不限堂數/高實用性 人人輕鬆學習 全台熱烈申請中 送完為止https://reurl.cc/RvKbl6,2,巨匠美語正常的免費學習通知,0,0,2,2,1
168,假冒教育機構,TRUE,巨匠美語,您好 巨匠外語邀請您 免費學情境會話3個月 還有機會抽200元下午茶 登記領取https://gjun.com/EBFE8E1ADA,2,巨匠美語正當的免費學習和抽獎通知,0,0,2,2,1
169,假冒教育機構,TRUE,巨匠美語,您好 巨匠外語邀請您 免費學英文情境會話3個月 限時加送日語課 立即登記領取https:://gjun.com/8419016F71,2,巨匠美語正常的免費學習通知,0,2,2,2,1
170,假冒金融機構,TRUE,玉山信用卡,【愛分期~別錯過！】旅遊購物更輕鬆~玉山信用卡【刷卡分期】只要簡單3步驟~立即設定，想分就分！立即了解 https://esun.co/AQib7 謹慎理財信用無價循環利率 5.88~15% ，分期利率等於總費用年百分率 6~12%,2,不確定的分期信用卡優惠，可能正當,2,2,2,0,1
171,假冒金融機構,TRUE,永豐銀行,"【新朋友專屬】交割戶綁定任務享NT$500，首月最高享NT$1,300等值回饋 (謹慎理財 信用至上) 立即了解> https://mma.tw/dawhosms713 永豐銀行客服專線：(02)2505-9999",2,不確定的優惠回饋，可能正當,2,2,2,2,1
172,假冒貸款服務,TRUE,許薇小姐,三大保證！(月息只要2%、可月繳季繳半年繳、撥款迅速) 您急需借款的唯一首選，持支客票500萬任您使用。洽：04-23170301 許薇小姐,1,不確定的貸款服務，可能詐騙,0,0,0,0,0
173,假冒貸款服務,TRUE,詹子慧,週轉急用都方便。別家不借讓我助您錢進未來，幫您渡過難關，支客票貼現、土地二胎。500萬月息1.5%，免押免保，洽 02-25705111 詹子慧,1,不確定的貸款服務，可能詐騙,0,0,0,0,0
174,假冒貸款服務,TRUE,李佳霖,銀行不能借，讓我來協助您，首次借款2成免息，500萬內銀行低率貸款專案，優惠每10萬元，月息2800，歡迎來電 04-22360320 李佳霖,1,不確定的貸款服務，可能詐騙,2,0,0,2,0
175,假冒貸款服務,TRUE,楊潔怡,5萬元月繳不到5300繳10期本期攤還，【請不要擔心條件與信用不好】只要有工作收入就可辦，0903589628 楊潔怡/搜同,1,不確定的貸款服務，可能詐騙,0,0,0,0,0
176,假冒貸款服務,TRUE,劉代書,「息」比三家不吃虧，先問再借免緊張！備支票300萬內，榮泰當舖給您【打破行情超低利專案】正派經營、安心借還，速洽 04-22258078 劉代書,1,不確定的貸款服務，可能詐騙,0,0,0,0,0
177,假冒獎勳或優惠,TRUE,星巴克,【限時邀請】500元星巴克、7-11禮券來囉！恭喜你獲得抽獎資格，立即參加：https://mchubb.tw/CoYAG,,不確定的優惠活動，可能正當,0,2,2,2,1
178,假冒獎勳或優惠,TRUE,新年紅包,【2025新年特輯】恭喜你獲得500元新年紅包抽獎資格，立即參加：https://mchubb.tw/kSsz4,,不確定的優惠活動，可能正當,0,2,2,2,1
179,假冒電商平台,TRUE,寶島眼鏡,大頭條！超震撼！寶島眼鏡和平東路分公司週年慶，免持卡、無條件，全面破盤價，只有寶島眼鏡才有喔(02)2704-5868,2,不確定的促銷活動，可能正當,0,0,0,0,0
180,假冒電商平台,TRUE,遠傳,如何獲得未公開4G吃到飽方案？即刻查詢可攜碼日期，解鎖隱藏優惠👉 fetnet.tw/lJ6zx2?CR=0rzxZRZ L1805,2,不確定的方案優惠，可能正當,2,0,2,2,1
181,假冒電商平台,TRUE,折價券,"【折$200】小時達輸入【夯肉到滿月】滿$1,500折$200、中秋送禮濃縮精補品滿額再贈1,200點 pxgo.net/4pPQXlo",,不確定的優惠活動，可能正當,0,0,2,0,1
182,假冒金融商品或投資機會,TRUE,玉山Pi拍錢包,2025/10/1~10/31刷玉山Pi拍錢包信用卡一般消費滿100元贈100P幣，國內外一般消費享3%回饋無上限，綁定拍錢包支付於指定通路最高7%回饋，詳 https://esun.co/dKwAH ，活動限本人參加轉寄無效，謹慎理財信用無價循環利率5.88~15%,2,不確定的信用卡回饋活動，可能正當,2,0,2,2,1
183,假冒電商平台,TRUE,星巴克,【最後機會】9/28中午12點HAPPY GO App免費搶100點！最高享折抵50元消費▶ www.hgs.tw/1QC/zzzz,,不確定的優惠活動，可能正當,0,0,2,2,1
184,假冒電商平台,TRUE,Sony,Sony狗年特製兌換卷，1/13起至長勵(漢口街一段65號)限量免費拿，買再送超優惠好禮！02-23118331 Sony.sdm.tw,,不確定的優惠活動，可能正當,0,0,2,2,1
185,假冒電商平台,TRUE,君綺,"《12月壽星活動通知》君綺貴賓您好：您的物品在我們這還沒領取, 請點選以下連結確認如下 @pbn2222v傳送門▶️https://line.me/R/ti/p/@pbn2222v按下連結並回覆《我是12月壽星》讓君綺陪伴您保持健康與年輕～",,不確定的活動通知，可能詐騙,0,0,2,2,1
186,假冒電商平台,TRUE,Apple Store,Apple Store：好消息！你的訂單 W75843**** 中的商品已經出貨，並將於 2021/06/30 或之前送達。詳細資訊：請見 https://www.apple.com/s/ac0R9n7m0T。,,不確定的商品配送通知，可能正當,0,0,2,0,1
187,假冒電商平台,TRUE,雄獅旅遊,雄獅會員您好，請輸入雄獅旅遊網認證碼：92****，提醒您此項操作需在2分內完成，請立即認證。請勿回覆此簡訊。,,不確定的認證通知，可能正當,0,2,0,0,0
188,假冒電商平台,TRUE,Dcard,你的相機掉了！到心情板許下新年願望免費送富士拍立得： https://dcard.link/o3p7Yi※詳情請洽 Dcard 官方粉專,,不確定的活動通知，可能詐騙,0,0,2,2,1
189,假冒電商平台,TRUE,中華電信,"【中華電信通知】🎉50點玩一把，最新iPhone 16e 有望送到家📦最高還可抽 3,000 點🤑 點數遊樂場→人人有機會中獎！立即參加👉 https://cht.tw/x/83afl",,不確定的活動通知，可能正當,2,2,2,2,1
190,假冒電商平台,TRUE,中華電信,【中華電信通知】母親節加碼來襲💖您尚有點數未使用，推薦抵換『全家虛擬禮物卡』 無限效期 https://cht.tw/x/84um6 🔈4/25~4/27限時刷卡最高回饋15%！ ✅[1點=1元 結帳現抵],,不確定的優惠活動，可能正當,2,2,2,2,1
191,假冒電商平台,TRUE,高鐵,"高鐵春季促銷 /北高來回+住宿，只要2,980元起，美好旅行的最短距離，從高鐵開始！https://thsrc.link/7fgjye",,不確定的促銷活動，可能正當,0,0,2,0,1
192,假冒電商平台,TRUE,遠傳,【遠傳電信電子發票通知】您好，您的「friDay影音影劇月租暢看-常客方案」的電子發票NL8416****已經開立，可至 https://fetnet.tw/TAX00b 查詢發票明細資料，謝謝！,,不確定的發票通知，可能正當,2,0,2,0,1
193,假冒教育機構,TRUE,關鍵對話力,天下訂戶專屬價｜全球領導都在學的《關鍵對話力》，你的思維轉捩點從這裡開始👉 https://cwg.mobi/B1fP3e,,不確定的課程促銷通知，可能正當,0,0,2,0,1
194,假冒電商平台,TRUE,中華電信,Hami Video電視運動館為中華隊加油！FIBA亞洲盃男籃資格賽，中華隊前役驚奇擊垮菲律賓，3/19(三)-3/21(五)附加賽再挾地主優勢迎戰關島、泰國，力拼前二晉級資格！立即訂閱👆 https://cht.tw/x/7xjh1,,不確定的促銷活動，可能正當,2,2,2,2,1
195,假冒電商平台,TRUE,高鐵會員TGo,高鐵會員TGo【推薦有獎】揪好友入會，同享82折購票優惠 https://thsrc.link/7shrpb,,不確定的會員優惠活動，可能正當,0,0,2,2,1
196,假冒醫療機構,TRUE,三民光澤,夏日除毛大作戰！腋下500、臉部1099、小腿2088，美麗自信不再毛躁！感受亮淨白，迎接朝氣一整夏！詳洽0227495589三民光澤,,不確定的美容促銷，可能正當,0,0,0,0,0
197,假冒醫療機構,TRUE,三民光澤,毛孔深呼吸：毛孔清道夫5堂+保養型雷射3堂21000，水渦流技術溫和清潔毛孔，緊緻提亮，一次成就！詳洽0227495589三民光澤,,不確定的美容促銷，可能正當,0,0,0,0,0
198,假冒醫療機構,TRUE,英爵,英爵週年慶盛大回饋！音波拉提29000、超玩美電波30000、玻尿酸澎潤美肌38000，眾多優惠詳見 https://wbvip.tw/w,,不確定的美容促銷，可能正當,0,0,2,2,1
199,假冒醫療機構,TRUE,英爵,英爵週年慶變美指南！玻尿酸終結淚溝18000、冰雕減脂塑身22000、鳳凰電波緊顏88000，優惠詳見 https://wbvip.tw/w,,不確定的美容促銷，可能正當,0,0,2,2,1
200,假冒醫療機構,TRUE,愛爾麗,愛爾麗VIP您好 愛爾麗回娘家活動 預約使用課程一堂加入LINE好友並出示簡訊即可獲得【戰斧音波100條】或【溶脂針1CC】任選其一立即預約:bsms.tw/vz35cS 預約電話02-23820999限站前分院即日起至114/09/30止,,不確定的美容促銷，可能正當,0,2,2,0,1
201,假冒活動通知,TRUE,野生動物路跑,11/16野生動物路跑 奔向自然為森林保育而跑！超Q大冠鷲周邊等你蒐集 即刻報名：saf.tw/W9GW8,,不確定的活動通知，可能正當,0,0,2,0,1
202,假冒電商平台,TRUE,富邦卡,"08月02日15:26刷富邦卡138,600元，享3~30期分期年利率最低5.62%(年百分率同)，實際利率以申請日為準，輕鬆分期立即點 https://www.fubon.com/banking/dc66  (限114/08/22前)，謹慎理財信用無價",,不確定的分期活動，可能正當,0,2,2,0,1
203,假冒電商平台,TRUE,家樂福線上購物,【家樂福線上購物】$50折價券已送達(滿$50可使用，5/31到期)，立即查看 cfour.tw/8Neei6s,,不確定的優惠券通知，可能正當,0,2,2,0,1
204,假冒電商平台,TRUE,PChome,【PChome】您的P幣今日到期！(1P抵$1)可兌換豬肉滿福堡，立即使用👉https://pchome.link/833apc,,不確定的兌換通知，可能正當,2,2,2,0,1
205,假冒電商平台,TRUE,全家便利商店,【全家便利商店權益提醒】VIP冷義大利麵免費兌換至5/27，請速開APP酷碰券到店兌換(sms.family.com.tw/hdAb4),,不確定的免費兌換通知，可能正當,0,0,2,2,1
206,假冒電商平台,TRUE,Gomaji,Gomaji限時１０％＋輸【999-eat30】美食滿499折30 https://gomaji.cc/g/19Fqk/fEEo,,不確定的促銷活動，可能正當,0,2,2,0,1
207,假冒獎勳或優惠,TRUE,星巴克,🎁 報名有機會獲得星巴克咖啡券，再抽飯店住宿券！席次有限，即刻報名👉 saf.tw/TIQBZ,,不確定的抽獎活動，可能正當,0,0,2,0,1
208,假冒活動通知,TRUE,DATE SUMMIT,📢 9/4-9/5 【DATE SUMMIT 數位經濟趨勢論壇】川普政策震盪 × 全球總經趨勢 × AI創新應用 × 跨境電商新藍海！吳嘉隆、曲博、詹益鑑、張仁炯等 7 國 17 位領袖齊聚分享！,,不確定的論壇活動，可能正當,0,0,0,0,0
209,假冒電商平台,TRUE,喬山健康科技,【喬山健康科技】您的驗證碼是：13****，5分鐘內有效。請勿向他人洩漏。如非本人操作，可忽略本消息,,不確定的驗證碼通知，可能正當,0,0,2,0,1
210,假冒活動通知,TRUE,USport,USport第二波運動抵用金申請將於9月19日下午2時開跑。請上U-Sport官網查詢 https://usport.gov.taipei,,不確定的運動抵用金申請通知，可能正當,0,0,2,0,1
211,假冒金融商品或投資機會,TRUE,Pi信用卡,《Pi信用卡給您一趟精彩的旅程》今年9月透過Agoda專屬活動頁面預訂飯店，免輸入折扣碼立即享有88折優惠；於國外消費享2.5%P幣回饋無上限；現在就推薦好友辦卡再享300P幣！活動內容詳見 bit.ly/2F2fqPP 謹慎理財信用無價循環利率5.88~15%,,不確定的信用卡回饋活動，可能正當,0,2,2,2,1
212,假冒金融商品或投資機會,TRUE,玉山Wallet,親愛的貴賓您好：您的玉山Wallet驗證碼為8****2(密碼時效為3分鐘，逾期失效)。祝您招財納福SMILE每一天，謝謝您!,,不確定的信用卡驗證碼通知，可能正當,2,2,2,0,1
213,假冒電商平台,TRUE,中華電信,[好消息]完成玉山網路投保旅平險，至四大機場指定中華電信服務據點購買「中華樂遊通」上網SIM卡享85折優惠。詳情：https://www.esunbank.com.tw/event/wealth/travelins/index.html,,不確定的優惠活動，可能正當,2,0,2,2,1
214,假冒金融商品或投資機會,TRUE,玉山銀行,"【恭喜獲得限時獨家好禮~】玉山銀行二順位房貸免轉貸，3月底前享「貸款費用現省2,000元」優惠，限本人憑簡訊申請，轉寄無效！總費用年百分率2.68%起。了解更多： http://www.esunbank.com.tw/event/loan/house/s/H15.html",,不確定的房貸轉貸優惠，可能正當,2,2,2,2,1
215,假冒金融商品或投資機會,TRUE,玉山e.Fingo,恭喜您成功登錄，差一步就可抽iPhone 11 Pro及電影票，快加入玉山e.Fingo會員！ https://bit.ly/2O8qJtN,,不確定的會員登錄優惠，可能正當,2,0,2,0,1
216,假冒金融商品或投資機會,TRUE,玉山e.Fingo,還記得6月登錄的玉山e.Fingo問卷嗎？只差一步加入會員，抽iPhone、家樂福即享券及電影票 https://pse.is/TMBGH,,不確定的會員登錄優惠，可能正當,2,0,2,0,1
217,假冒金融商品或投資機會,TRUE,玉山銀行,【玉山銀行熱門理財服務】敬邀您體驗投資理財數位服務「基金ｅ指選」，3步驟e鍵找出適合您的5檔基金，立即體驗→bit.ly/2O2nBQb,,不確定的基金投資服務，可能正當,2,2,2,2,1
218,假冒獎勳或優惠,TRUE,玉山e.Fingo,5萬元家樂福提貨券、2萬元旅遊金大獎，玉山e.Fingo會員完成指定任務通通抽給你！詳見 https://esn.pse.is/3abwlb,,不確定的會員抽獎優惠，可能正當,2,0,2,2,1
219,假冒金融商品或投資機會,TRUE,玉山銀行,親愛的顧客您好：您的玉山銀行信用卡約定條款及會員權益 EMAIL 未發送成功，因此改發送簡訊給您，請點 https://esun.co/3Je1v 查看條款內容，歡迎至網路銀行或洽玉山客服確認或更新您的電子信箱，謝謝。謹慎理財信用無價循環利率 5.88~15%,,不確定的信用卡條款通知，可能正當,2,0,2,0,1
220,假冒金融商品或投資機會,TRUE,玉山銀行,【玉山銀行】您已於全國性繳費平台進行繳費599元，帳號末5碼95140，請查詢交易明細確認繳費是否成功，次月將寄發對帳單予您對帳。,,不確定的繳費確認通知，可能正當,2,0,0,0,0
221,假冒電商平台,TRUE,PChome,PChome通知：訂單2025091402****(單號:1908****)商品已送達7-11雙環，請帶證件於09/24前取貨,,不確定的訂單通知，可能正當,2,0,0,0,0
222,假冒教育機構,TRUE,聯成電腦,李同學您好，聯成電腦(課務服務組)老師找您，請回電02-29946836，黃老師，加入聯成電腦(課務服務組)官方LINE【 ID:@mae4677n回傳全名+手機，】馬上為您服務~~,,不確定的教育機構通知，可能正當,0,0,0,0,0
223,假冒教育機構,TRUE,聯成電腦,急急急！李同學您好，聯成電腦(課務服務組)老師找您，請回電02-29946836，黃老師,,不確定的教育機構通知，可能正當,0,0,0,0,0
224,假冒電商平台,TRUE,friDay影音,【韓劇完結免費看】《瑞草洞、清潭國際高等學校2、我奪走了公爵的初夜、勞務師盧武鎮》，登入friDay影音馬上看 lihi.cc/6cI3L,,不確定的免費觀看通知，可能正當,0,0,2,2,1
225,假冒電商平台,TRUE,friDay影音,【夏日限時免費看】《清潭國際高等學校2》暗黑回歸；《競選夥伴、24小時健身俱樂部》完結一次追，登入friDay影音 lihi.cc/mcbS4,,不確定的免費觀看通知，可能正當,0,2,2,2,1
226,假冒電商平台,TRUE,friDay影音,【新韓劇限時免費看】宋仲基《我的青春》、宋承憲《金子般我的明星》、金師傅韓石圭《申社長計劃》都在friDay影音 lihi.cc/kqYfM,,不確定的免費觀看通知，可能正當,0,2,2,2,1
227,假冒金融商品或投資機會,TRUE,國泰世華,點外送或出國旅遊就刷國泰世華蝦皮購物聯名卡，12/31前指定外送、航空、旅行社與旅遊平台最高5%並享海外消費免手續費；刷KKday再享現折優惠，合計最高25%，詳 https://cathaybk.tw/B5GAY88FT 謹慎理財信用無價循環利率6.75~15%,,不確定的信用卡優惠活動，可能正當,2,0,2,2,1
228,假冒金融商品或投資機會,TRUE,國泰世華,【國泰世華】毛孩也是家人！別忘了也為他們準備一份保障，現在透過 CUBE App 保險專區，即可快速試算與線上投保，馬上點我了解＞【本服務由國泰產險提供】 https://cathaybk.tw/B5HDB40DT,,不確定的保險推廣，可能正當,2,0,2,0,1
